Web Search interest: Aécio Neves; Dilma Rousseff; Marina Silva
Worldwide; Past 90 days

Interest over time
Day,Aécio Neves,Dilma Rousseff,Marina Silva
dilma marina,+2,950%
entrevista de dilma,+2,900%
marina silva,+1,500%


Rising searches for Marina Silva
marina silva entrevista,Breakout
pesquisa marina silva,Breakout
dilma,+250%
marina,+140%
marina silva,+130%
marina silva brasil,+130%
marina da silva,+110%
marina silva candidata,+110%
marina presidente,+60%
marina silva 2014,+50%



